省,市,日期,星期,最高温度,最低温度,天气,风向风力
北京,海淀,2011-01-01,  ,-2℃,-7℃,多云~阴,无持续风向 微风
北京,海淀,2011-01-02,  ,-2℃,-7℃,多云,无持续风向 微风
北京,海淀,2011-01-03,  ,-2℃,-6℃,多云~阴,西北风~北风 3-4级~4-5级
北京,海淀,2011-01-04,  ,-2℃,-9℃,晴,北风 5-6级
北京,海淀,2011-01-05,  ,-2℃,-10℃,晴,北风~无持续风向 3-4级~微风
北京,海淀,2011-01-06,  ,-1℃,-10℃,晴~多云,无持续风向 微风
北京,海淀,2011-01-07,  ,-1℃,-9℃,多云,无持续风向~北风 微风~3-4级
北京,海淀,2011-01-08,  ,0℃,-9℃,晴,无持续风向 微风
北京,海淀,2011-01-09,  ,0℃,-9℃,晴,无持续风向 微风
北京,海淀,2011-01-10,  ,0℃,-9℃,晴,无持续风向 微风
北京,海淀,2011-01-11,  ,-1℃,-9℃,晴~多云,无持续风向 微风
北京,海淀,2011-01-12,  ,-1℃,-8℃,多云~晴,北风 3-4级
北京,海淀,2011-01-13,  ,-1℃,-9℃,多云,无持续风向~北风 微风~3-4级
北京,海淀,2011-01-14,  ,-2℃,-10℃,晴,无持续风向 微风
北京,海淀,2011-01-15,  ,-2℃,-9℃,晴~多云,无持续风向 微风
北京,海淀,2011-01-16,  ,-1℃,-9℃,阴~晴,无持续风向 微风
北京,海淀,2011-01-26,  ,0℃,-8℃,晴,无持续风向 微风
北京,海淀,2011-01-29,  ,-1℃,-10℃,晴,无持续风向 微风
北京,海淀,2011-01-30,  ,3℃,-7℃,晴,无持续风向 微风
北京,海淀,2011-01-31,  ,7℃,-7℃,晴,无持续风向 微风
北京,海淀,2011-02-01,  ,7℃,-6℃,晴~多云,无持续风向 微风
北京,海淀,2011-02-02,  ,6℃,-6℃,多云~晴,无持续风向 微风
北京,海淀,2011-02-03,  ,7℃,-5℃,晴~多云,无持续风向 微风
北京,海淀,2011-02-04,  ,9℃,-4℃,多云~晴,北风~无持续风向 3-4级~微风
北京,海淀,2011-02-05,  ,4℃,-3℃,多云~晴,无持续风向 微风
