,城市,区域,链接
0,北京,海淀,/haidian/
1,北京,朝阳,/chaoyang/
2,北京,顺义,/shunyi/
3,北京,怀柔,/huairou/
4,北京,通州,/tongzhou/
5,北京,昌平,/changping/
6,北京,延庆,/yanqing/
7,北京,丰台,/fengtai/
8,北京,石景山,/shijingshan/
9,北京,大兴,/daxing/
10,北京,房山,/fangshan/
11,北京,密云,/miyun/
12,北京,门头沟,/mentougou/
13,北京,平谷,/pinggu/
14,北京,东城,/dongchengqu/
15,北京,西城,/xichengqu/
16,重庆,江北,/jiangbei/
17,重庆,渝中,/yuzhongqu/
18,重庆,大渡口,/dadukou/
19,重庆,沙坪坝,/shapingba/
20,重庆,九龙坡,/jiulongpo/
21,重庆,南岸,/nananqu/
22,重庆,开州,/kaizhou/
23,重庆,永川,/yongchuan/
24,重庆,合川,/hechuan/
25,重庆,南川,/nanchuan/
26,重庆,江津,/jiangjin/
27,重庆,万盛,/wansheng/
28,重庆,渝北,/yubei/
29,重庆,北碚,/beibei/
30,重庆,巴南,/banan/
31,重庆,长寿,/changshou/
32,重庆,黔江,/qianjiang/
33,重庆,万州,/wanzhou/
34,重庆,涪陵,/fuling/
35,重庆,开县,/kaixian/
36,重庆,城口,/chengkou/
37,重庆,云阳,/yunyang/
38,重庆,巫溪,/wuxi/
39,重庆,奉节,/fengjie/
40,重庆,巫山,/wushan/
41,重庆,潼南,/tongnan/
42,重庆,垫江,/dianjiang/
43,重庆,梁平,/liangping/
44,重庆,忠县,/zhongxian/
45,重庆,石柱,/shizhu/
46,重庆,大足,/dazu/
47,重庆,荣昌,/rongchang/
48,重庆,铜梁,/tongliang/
49,重庆,璧山,/bishan/
50,重庆,丰都,/fengdu/
51,重庆,武隆,/wulong/
52,重庆,彭水,/pengshui/
53,重庆,綦江,/qijiang/
54,重庆,酉阳,/youyang/
55,重庆,秀山,/xiushan/
56,上海,徐汇,/xuhui/
57,上海,静安,/jinganqu/
58,上海,杨浦,/yangpuqu/
59,上海,闵行,/minhang/
60,上海,宝山,/baoshan/
61,上海,嘉定,/jiading/
62,上海,南汇,/nanhui/
63,上海,金山,/jinshan/
64,上海,青浦,/qingpu/
65,上海,松江,/songjiang/
66,上海,奉贤,/fengxian/
67,上海,崇明,/chongming/
68,上海,徐家汇,/xujiahui/
69,上海,浦东,/pudong/
70,上海,长宁,/changningqu/
71,上海,虹口,/hongkou1/
72,上海,黄浦,/huangpu1/
73,天津,武清,/wuqing/
74,天津,宝坻,/baodi/
75,天津,东丽,/dongli/
76,天津,西青,/xiqing/
77,天津,北辰,/beichen/
78,天津,宁河,/ninghe/
79,天津,汉沽,/hangu/
80,天津,静海,/jinghai/
81,天津,津南,/jinnan/
82,天津,塘沽,/tanggu/
83,天津,大港,/dagang/
84,天津,蓟州,/tianjinjizhou/
85,天津,红桥,/hongqiaoqu/
86,天津,河西,/hexiqu/
87,天津,河东,/hedongqu/
88,天津,河北,/hebeiqu/
89,天津,和平,/hepingqu/
90,天津,南开,/nankaiqu/
91,天津,滨海,/binhaixinqu/
92,安徽,安庆,/anqing/
93,安徽,枞阳,/zongyang/
94,安徽,太湖,/taihu/
95,安徽,潜山,/qianshan/
96,安徽,怀宁,/huaining/
97,安徽,宿松,/susong/
98,安徽,望江,/wangjiang/
99,安徽,岳西,/yuexi/
100,安徽,桐城,/tongcheng1/
