,日期,星期,最高温度,最低温度,天气,风向
0,2019-01-01, 星期二 ,6℃,1℃,晴,西北风 2级
1,2019-01-02, 星期三 ,6℃,1℃,阴,西北风 2级
2,2019-01-03, 星期四 ,5℃,3℃,晴,北风 2级
3,2019-01-04, 星期五 ,9℃,2℃,多云,西北风 2级
4,2019-01-05, 星期六 ,9℃,3℃,小雨,西北风 2级
5,2019-01-06, 星期日 ,10℃,4℃,晴,西北风 2级
6,2019-01-07, 星期一 ,11℃,4℃,晴,西北风 2级
7,2019-01-08, 星期二 ,9℃,4℃,多云,北风 2级
8,2019-01-09, 星期三 ,7℃,4℃,多云,北风 2级
9,2019-01-10, 星期四 ,8℃,4℃,晴,北风 2级
10,2019-01-11, 星期五 ,11℃,3℃,晴,南风 1级
11,2019-01-12, 星期六 ,10℃,3℃,晴,西北风 2级
12,2019-01-13, 星期日 ,11℃,3℃,晴,西北风 1级
13,2019-01-14, 星期一 ,12℃,4℃,晴,北风 2级
14,2019-01-15, 星期二 ,10℃,4℃,晴,东北风 2级
15,2019-01-16, 星期三 ,10℃,2℃,阴,北风 2级
16,2019-01-17, 星期四 ,8℃,3℃,阴,西北风 2级
17,2019-01-18, 星期五 ,10℃,5℃,晴,西北风 2级
18,2019-01-19, 星期六 ,12℃,3℃,晴,北风 2级
19,2019-01-20, 星期日 ,12℃,4℃,晴,东北风 2级
20,2019-01-21, 星期一 ,12℃,2℃,晴,西风 2级
21,2019-01-22, 星期二 ,12℃,1℃,晴,西北风 1级
22,2019-01-23, 星期三 ,12℃,1℃,晴,西北风 2级
23,2019-01-24, 星期四 ,11℃,5℃,多云,北风 2级
24,2019-01-25, 星期五 ,13℃,6℃,多云,西北风 2级
25,2019-01-26, 星期六 ,9℃,6℃,小雨,北风 2级
26,2019-01-27, 星期日 ,9℃,7℃,多云,北风 2级
27,2019-01-28, 星期一 ,10℃,6℃,多云,西北风 2级
28,2019-01-29, 星期二 ,12℃,6℃,阴,北风 2级
29,2019-01-30, 星期三 ,11℃,5℃,晴,北风 2级
30,2019-01-31, 星期四 ,10℃,5℃,多云,西北风 2级
31,2019-02-01, 星期五 ,8℃,5℃,阴,西北风 2级
32,2019-02-02, 星期六 ,12℃,5℃,晴,北风 2级
33,2019-02-03, 星期日 ,13℃,4℃,晴,西北风 1级
34,2019-02-04, 星期一 ,14℃,4℃,晴,西北风 2级
35,2019-02-05, 星期二 ,14℃,6℃,晴,西北风 2级
36,2019-02-06, 星期三 ,17℃,6℃,晴,北风 3级
37,2019-02-07, 星期四 ,14℃,8℃,多云,北风 2级
38,2019-02-08, 星期五 ,12℃,9℃,多云,北风 2级
39,2019-02-09, 星期六 ,9℃,5℃,多云,东北风 2级
40,2019-02-10, 星期日 ,10℃,4℃,晴,北风 2级
41,2019-02-11, 星期一 ,10℃,4℃,多云,西北风 2级
42,2019-02-12, 星期二 ,14℃,4℃,多云,西北风 2级
43,2019-02-13, 星期三 ,13℃,6℃,多云,北风 1级
44,2019-02-14, 星期四 ,13℃,7℃,晴,北风 2级
45,2019-02-15, 星期五 ,12℃,6℃,多云,东北风 1级
46,2019-02-16, 星期六 ,10℃,6℃,小雨,北风 2级
47,2019-02-17, 星期日 ,8℃,3℃,小雨,北风 3级
48,2019-02-18, 星期一 ,9℃,4℃,多云,北风 2级
49,2019-02-19, 星期二 ,9℃,5℃,阴,西北风 1级
50,2019-02-20, 星期三 ,12℃,5℃,晴,北风 2级
51,2019-02-21, 星期四 ,14℃,6℃,晴,西北风 2级
52,2019-02-22, 星期五 ,12℃,7℃,多云,西北风 2级
53,2019-02-23, 星期六 ,13℃,7℃,阴,北风 2级
54,2019-02-24, 星期日 ,10℃,8℃,阴,北风 2级
55,2019-02-25, 星期一 ,10℃,7℃,多云,西北风 2级
56,2019-02-26, 星期二 ,11℃,8℃,小雨,北风 2级
57,2019-02-27, 星期三 ,13℃,7℃,多云,北风 2级
58,2019-02-28, 星期四 ,10℃,8℃,阴,北风 2级
59,2019-03-01, 星期五 ,9℃,7℃,多云,北风 2级
60,2019-03-02, 星期六 ,14℃,6℃,晴,西风 1级
61,2019-03-03, 星期日 ,14℃,6℃,多云,北风 2级
62,2019-03-04, 星期一 ,15℃,6℃,多云,东北风 2级
